0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20
1,26.0284,1,26.8482,1,28.4878,1,25.0037,1,26.0284,1,28.6008,1,28.7306,1,25.0769,1,26.8482,1,26.8482,1,30.3323,1,26.5081,1,26.5009,1,27.0531,1,25.0749,1,26.5432,1,27.0408,1,26.6784,1,22.6101,1,27.5356,1,24.6587,1,26.9191,1,26.9191,1,26.2333,1,28.8977,1,28.8066,1,27.8363,1,22.4875,1,31.4815,1,21.3709,1,26.4612,1,27.9466,1,26.0284,1,26.0972,1,21.3709,1,29.8354,1,28.7685,1,26.3027,1,25.1091,1,26.0972,1,30.0412,1,26.8482,1,25.1029,1,33.6115,1,21.4275,1,26.7365,1,27.7411,1,25.0697,1,28.3576,1,24.7537,1,30.734,1,21.2215,1,26.2333,1,26.0284,1,24.9708,1,25.8917,1,26.6432,1,30.207,1,34.9332,1,26.8836,1,27.8424,1,26.0972,1,30.207,1,25.1237,1,25.3086,1,23.2203,1,26.4383,1,26.0284,1,35.1387,1,23.6283,1,25.1029,1,22.8698,1,26.221,1,33.4506,1,26.9191,1,26.4775,1,28.5884,1,25.1029,1,24.8642,1,23.1064,1,22.6637,1,25.0697,1,26.0284,1,28.3576,1,24.8366,1,25.2752,1,25.1091,1,28.5703,1,26.2333,1,26.749,1,28.3576,1,28.655,1,25.0697,1,27.0531,1,26.9609,1,25.0098,1,26.0972,1,28.7368,1,25.0697,1,25.3005,1,28.2828,1,27.3301,1,28.7357,1,32.6297,1,27.7778,1,25.8575,1,25.1091,1,28.563,1,30.7504,1,25.0037,1,28.4013,1,27.6316,1,31.1932,1,21.7778,1,25.7542,1,28.6008,1,22.3626,1,26.0627,1,24.3816,1,24.7987
2,43.6539,2,46.1133,2,48.5727,2,35.8659,2,44.6787,2,47.9424,2,48.6368,2,35.9741,2,44.0638,2,40.1698,2,48.7776,2,42.7418,2,41.29,2,47.343,2,41.7257,2,43.0041,2,47.1133,2,41.6593,2,36.795,2,49.3175,2,47.4681,2,46.0296,2,45.4132,2,41.1946,2,49.8024,2,50.6173,2,45.2339,2,38.1668,2,55.144,2,36.1662,2,43.5741,2,45.8242,2,43.6539,2,43.5638,2,37.1936,2,58.4362,2,52.8108,2,42.5363,2,37.8725,2,42.3308,2,48.3539,2,47.138,2,38.2716,2,58.4102,2,34.2016,2,45.2426,2,48.0845,2,38.4265,2,53.4273,2,39.4783,2,52.0423,2,35.2318,2,41.3995,2,43.6539,2,38.2749,2,41.7144,2,45.9084,2,57.7426,2,63.0853,2,41.2489,2,42.9947,2,40.8924,2,50.9614,2,38.2975,2,40.9465,2,42.3308,2,41.3995,2,41.3995,2,66.7841,2,34.3075,2,39.9177,2,41.0007,2,42.6045,2,58.6925,2,38.8375,2,43.2329,2,51.4155,2,36.214,2,38.221,2,41.8803,2,38.3223,2,38.8375,2,41.8094,2,46.4406,2,43.5175,2,37.3991,2,39.7243,2,53.0297,2,44.2688,2,45.2675,2,52.3998,2,48.3041,2,39.865,2,45.2935,2,46.103,2,37.5178,2,39.865,2,48.2386,2,39.454,2,34.1361,2,47.343,2,48.0845,2,52.342,2,54.3829,2,45.4733,2,42.0698,2,39.7243,2,46.4406,2,52.4812,2,39.1451,2,47.1318,2,45.4386,2,54.5881,2,32.2516,2,42.443,2,50.823,2,36.9269,2,45.3533,2,38.9267,2,33.2016
3,74.6011,3,85.4633,3,83.004,3,56.7706,3,79.9297,3,79.6296,3,83.9343,3,58.1731,3,79.9297,3,73.1664,3,85.8732,3,64.5237,3,66.559,3,81.3644,3,73.7881,3,73.4568,3,76.6137,3,68.7482,3,64.5422,3,87.744,3,86.3056,3,77.8805,3,76.8531,3,69.2724,3,81.5693,3,85.5967,3,74.0936,3,66.2246,3,91.1523,3,63.2908,3,72.3271,3,74.1817,3,73.1664,3,73.9762,3,66.1676,3,108.642,3,95.7581,3,72.5378,3,62.7757,3,74.1817,3,78.1893,3,81.3644,3,62.3457,3,96.3256,3,58.7196,3,75.8889,3,81.1684,3,63.0853,3,94.1142,3,64.4369,3,84.828,3,58.5136,3,71.117,3,73.1664,3,62.4269,3,69.25,3,77.6753,3,92.2648,3,100.073,3,67.1064,3,68.995,3,68.428,3,81.9903,3,61.1551,3,69.9588,3,75.6201,3,69.6823,3,63.9438,3,104.389,3,56.6998,3,67.4897,3,73.9662,3,72.3098,3,96.2474,3,62.0578,3,65.1596,3,83.9138,3,57.6132,3,62.8798,3,72.6201,3,66.5489,3,62.4688,3,71.7318,3,71.9213,3,75.9482,3,62.4688,3,65.4506,3,92.9008,3,75.2159,3,76.5432,3,82.8123,3,82.6901,3,66.9896,3,77.2654,3,79.0308,3,60.888,3,66.5786,3,82.5163,3,65.7566,3,52.8479,3,75.2159,3,87.333,3,99.7535,3,88.4491,3,74.4856,3,71.6212,3,65.4506,3,78.908,3,86.7135,3,63.3289,3,76.356,3,75.731,3,93.7848,3,54.6438,3,72.1118,3,88.2716,3,62.368,3,74.2891,3,61.8748,3,51.8519
4,108.622,4,117.845,4,120.919,4,77.6753,4,122.354,4,115.638,4,124.568,4,98.2497,4,108.827,4,95.9157,4,114.156,4,99.8679,4,96.5544,4,120.509,4,111.399,4,105.761,4,120.87,4,99.3257,4,93.1113,4,132.13,4,141.171,4,114.869,4,112.403,4,98.9899,4,118.05,4,123.251,4,106.023,4,96.5517,4,130.041,4,93.9087,4,114.308,4,106.238,4,113.131,4,106.649,4,97.402,4,163.58,4,145.898,4,105.211,4,89.5308,4,106.238,4,112.14,4,119.69,4,88.8889,4,137.725,4,89.8308,4,117.646,4,119.184,4,90.4154,4,138.705,4,90.8281,4,126.631,4,84.4739,4,102.884,4,103.089,4,88.2164,4,98.224,4,113.131,4,152.062,4,151.035,4,94.6057,4,97.8608,4,96.991,4,116.307,4,87.309,4,100.823,4,113.225,4,100.834,4,99.3998,4,166.857,4,84.0237,4,96.7078,4,110.64,4,104.474,4,145.089,4,90.6209,4,105.083,4,132.461,4,81.2757,4,87.744,4,107.692,4,96.0118,4,87.9495,4,102.679,4,111.581,4,113.509,4,89.5934,4,95.7037,4,138.731,4,109.237,4,110.494,4,138.089,4,121.374,4,95.1416,4,125.838,4,125.539,4,85.4879,4,93.4977,4,118.436,4,99.8679,4,75.2633,4,111.082,4,135.007,4,155.99,4,121.695,4,105.967,4,110.202,4,92.4115,4,128.431,4,130.169,4,89.9722,4,115.663,4,108.48,4,142.216,4,80.9403,4,102.811,4,130.864,4,90.6819,4,112.87,4,88.307,4,72.5516
5,159.45,5,174.616,5,174.821,5,110.262,5,183.019,5,166.461,5,183.26,5,119.216,5,161.499,5,138.545,5,159.04,5,141.582,5,136.824,5,175.845,5,165.86,5,154.733,5,176.809,5,144.884,5,136.887,5,196.242,5,206.928,5,168.912,5,162.953,5,142.439,5,172.361,5,182.51,5,153.304,5,142.146,5,186.42,5,137.267,5,153.29,5,152.473,5,153.096,5,156.583,5,146.309,5,244.033,5,216.586,5,154.734,5,127.191,5,154.323,5,160.7,5,175.64,5,126.749,5,198.185,5,134.128,5,172.572,5,174.255,5,129.664,5,206.928,5,130.728,5,178.682,5,123.62,5,149.612,5,151.662,5,125.058,5,143.637,5,166.828,5,225.216,5,216.175,5,135.034,5,139.621,5,141.171,5,166.857,5,124.795,5,147.942,5,169.323,5,147.972,5,145.308,5,239.601,5,124.293,5,141.358,5,164.003,5,153.65,5,205.834,5,124.321,5,154.935,5,195.411,5,116.461,5,125.76,5,158.444,5,141.751,5,126.582,5,150.022,5,162.337,5,166.872,5,131.513,5,141.183,5,204.905,5,160.884,5,161.728,5,205.079,5,178.07,5,137.883,5,171.951,5,182.13,5,120.95,5,136.034,5,174.877,5,133.774,5,102.823,5,160.884,5,204.462,5,238.699,5,174.23,5,151.852,5,151.041,5,133.776,5,175.694,5,185.511,5,130.142,5,167.726,5,159.035,5,208.912,5,118.539,5,149.169,5,191.152,5,131.719,5,166.022,5,126.011,5,103.704
6,218.27,6,240.199,6,239.584,6,150.637,6,252.086,6,225.514,6,252.213,6,162.786,6,224.623,6,191.831,6,216.22,6,193.571,6,186.957,6,242.249,6,228.746,6,213.169,6,243.609,6,199.472,6,189.293,6,272.274,6,284.192,6,232.82,6,223.778,6,195.725,6,235.28,6,247.325,6,209.181,6,195.992,6,252.058,6,191.311,6,211.144,6,207.133,6,208.432,6,214.531,6,204.257,6,337.86,6,299.398,6,213.504,6,175.551,6,212.271,6,216.255,6,240.609,6,175.103,6,265.818,6,187.285,6,239.02,6,239.395,6,178.776,6,284.192,6,179.224,6,237.906,6,172.45,6,206.178,6,207.202,6,172.135,6,196.037,6,228.927,6,308.851,6,293.439,6,185.723,6,188.955,6,193.571,6,225.833,6,171.346,6,203.498,6,236.929,6,205.563,6,199.209,6,324.057,6,171.139,6,194.856,6,227.255,6,210.818,6,274.172,6,172.2,6,211.613,6,270.296,6,159.877,6,173.022,6,219.098,6,197.586,6,173.844,6,205.973,6,220.49,6,232.754,6,181.653,6,196.745,6,280.12,6,220.729,6,220.988,6,282.959,6,246.023,6,188.228,6,239.174,6,247.362,6,165.84,6,185.352,6,237.269,6,183.502,6,140.465,6,219.499,6,286.247,6,332.695,6,234.975,6,206.173,6,206.45,6,183.782,6,244.327,6,248.026,6,178.51,6,229.872,6,217.164,6,284.433,6,164.151,6,203.767,6,263.786,6,182.607,6,224.509,6,173.143,6,142.234
7,287.132,7,316.645,7,310.496,7,196.34,7,332.631,7,292.387,7,331.017,7,210.876,7,295.945,7,255.16,7,278.319,7,249.464,7,242.023,7,318.079,7,303.756,7,280.041,7,318.813,7,260.217,7,249.302,7,357.552,7,369.47,7,304.741,7,293.439,7,255.365,7,305.987,7,320.37,7,273.86,7,257.678,7,325.103,7,250.081,7,276.581,7,267.342,7,273.606,7,280.699,7,269.397,7,439.095,7,391.458,7,280.493,7,228.233,7,279.466,7,279.218,7,316.03,7,228.395,7,344.723,7,249.301,7,314.111,7,312.55,7,232.82,7,373.991,7,233.247,7,292.621,7,227.461,7,268.482,7,272.376,7,224.737,7,257.478,7,299.429,7,395.156,7,377.073,7,242.773,7,244.02,7,253.78,7,291.795,7,224.902,7,268.724,7,313.166,7,268.892,7,260.899,7,400.088,7,225.176,7,255.967,7,299.985,7,278.028,7,345.383,7,224.189,7,277.807,7,354.234,7,207.613,7,225.627,7,286.561,7,259.603,7,227.888,7,268.482,7,286.452,7,306.433,7,240.834,7,259.714,7,366.638,7,289.592,7,289.918,7,370.498,7,322.573,7,248.026,7,313.98,7,318.973,7,215.443,7,244.122,7,311.359,7,240.012,7,182.84,7,283.853,7,377.073,7,436.336,7,302.287,7,266.049,7,270.683,7,240.372,7,322.208,7,306.237,7,233.641,7,297.986,7,283.48,7,369.804,7,216.134,7,264.135,7,345.679,7,239.447,7,295.515,7,222.734,7,186.503
8,361.733,8,399.239,8,388.991,8,247.577,8,418.504,8,367.078,8,415.567,8,266.159,8,398.419,8,322.588,8,346.157,8,302.07,8,303.869,8,400.264,8,382.053,8,353.704,8,402.42,8,328.349,8,316.914,8,449.2,8,451.871,8,383.443,8,370.292,8,322.998,8,384.687,8,400.617,8,344.678,8,327.203,8,405.761,8,318.303,8,348.368,8,336.797,8,345.337,8,353.853,8,342.346,8,550.823,8,490.914,8,354.469,8,289.35,8,351.798,8,351.646,8,397.804,8,289.918,8,429.161,8,316.056,8,395.58,8,394.54,8,294.877,8,467.489,8,294.843,8,366.806,8,288.653,8,340.214,8,342.878,8,282.456,8,325.084,8,377.104,8,487.627,8,468.927,8,307.007,8,306.657,8,319.947,8,366.182,8,284.022,8,339.918,8,396.8,8,341.648,8,317.055,8,502.216,8,285.79,8,323.457,8,378.072,8,349.338,8,426.649,8,283.37,8,340.278,8,445.169,8,262.963,8,284.397,8,363.307,8,329.654,8,288.713,8,339.599,8,345.633,8,386.68,8,303.097,8,329.679,8,461.374,8,366.652,8,365.432,8,450.022,8,405.673,8,312.755,8,396.779,8,424.535,8,271.81,8,305.768,8,390.99,8,303.713,8,229.329,8,358.044,8,467.283,8,545.519,8,379.244,8,335.802,8,341.894,8,304.165,8,406.458,8,381.665,8,295.945,8,377.621,8,356.345,8,460.51,8,274.487,8,333.775,8,432.716,8,303.469,8,371.856,8,281.138,8,235.28
9,443.098,9,489.621,9,473.43,9,304.553,9,518.314,9,447.531,9,510.173,9,326.785,9,440.843,9,391.861,9,419.529,9,369.676,9,364.893,9,489.826,9,474.735,9,432.922,9,476.394,9,402.023,9,388.225,9,550.712,9,564.891,9,470.776,9,454.748,9,396.165,9,465.847,9,490.535,9,421.433,9,401.68,9,491.77,9,390.43,9,426.68,9,409.541,9,423.628,9,432.761,9,414.061,9,669.753,9,600.851,9,434.199,9,354.582,9,431.939,9,426.955,9,486.752,9,355.761,9,520.363,9,392.288,9,469.436,9,482.078,9,362.278,9,573.521,9,361.761,9,444.475,9,356.026,9,416.249,9,419.529,9,348.158,9,399.061,9,449.246,9,600.029,9,554,9,374.729,9,399.792,9,392.074,9,432.144,9,348.91,9,410.905,9,485.161,9,418.299,9,391.451,9,610.098,9,353.39,9,397.531,9,465.636,9,429.255,9,518.997,9,347.483,9,418.883,9,529.724,9,322.634,9,349.332,9,445.623,9,398.675,9,355.497,9,416.249,9,423.925,9,459.333,9,375.224,9,404.994,9,564.947,9,449.041,9,436.008,9,552.767,9,495.936,9,383.238,9,486.547,9,480.097,9,334.326,9,376.868,9,481.293,9,372.963,9,280.552,9,420.143,9,518.656,9,614.478,9,458.868,9,407.613,9,418.851,9,372.895,9,497.696,9,463.855,9,362.963,9,443.883,9,436.988,9,599.033,9,340.648,9,400.118,9,531.276,9,373.647,9,444.093,9,344.461,9,290.206
